,多头策略,空头策略,基准,多头/基准,空头/基准,分层1,分层2,分层3,分层4,分层5,分层1/基准,分层2/基准,分层3/基准,分层4/基准,分层5/基准,ic_long,ic_short,ic
MjrHolderTrade_under_recent_float_W,1.4427748387823014,0.9885117418640696,1.3031940339987096,1.1071066941239005,0.7585299779426772,0.8605739885425912,1.1650139649873354,1.0127458111227796,1.0381775520195016,2.0340294147098654,0.6603575262710597,0.8939681540841746,0.7771258804917015,0.796640810911301,1.5608031971023277,4.99478355929048,,0.9622692238658519
north_change_amount_M_qoq,1.5970063086521415,1.7565799267498123,1.3031940339987096,1.2254555093011752,1.3479035975632403,1.2667103451607007,0.8582641476463191,0.8242383908894153,0.928148476688609,1.400864094468166,0.9720044077196527,0.6585850803911592,0.6324755710861637,0.7122105016401019,1.0749466755689223,2.1170373286414494,-2.608561258546,0.13990985578707973
allETFselect_float_W_yoy,1.3496607002568473,1.7505999948508681,1.3031940339987096,1.0356559844857176,1.3433149240864324,1.6253811595341947,1.327739202652847,1.1780994769460318,1.015874730310475,1.404880260920753,1.2472288217487375,1.0188346232516299,0.9040092620215282,0.7795268423638907,1.0780284625843706,-0.08103157431018936,-1.9522139633473468,0.5532226026551988
north_holdings_amount_W_yoy,1.2958052566748877,0.8286681404829179,1.3031940339987096,0.9943302554101248,0.6358747192390374,0.8856391298780405,0.7914789730174903,0.9039537890365665,1.247365511078724,1.4088927150733892,0.6795911481888487,0.6073377811506111,0.6936448183873911,0.9571602374907429,1.0811074009833783,2.845088430030059,0.3458371242005649,0.053176120576276506
indusETFselect_amount_W_qoq,1.6222459461952448,1.1658304628261182,1.3031940339987096,1.2448230300882817,0.8945946899778953,1.4044152298379713,1.0650601115743203,1.0673836787773405,1.4131450785585526,1.5475184861296718,1.0776716231033343,0.8172690204130991,0.819051999111897,1.08437043271482,1.18748125433116,0.8297358332784681,-0.984439871641746,0.27790603956285465
indusETF_amount_M_qoq,1.2677829658532056,1.5354944637639782,1.3031940339987096,0.97282747831737,1.1782546755930734,1.6904733101911555,1.3705878155284208,1.0797707005316286,1.1463233455353885,1.3800494270976529,1.2971769867639138,1.0517143109709617,0.8285571237757046,0.8796259924686883,1.0589746354678442,0.2214055517576604,-0.08714941038903001,0.08672192637146142
margin_borrow_amount_W_yoy,1.4752255009382405,1.1120393528118002,1.3031940339987096,1.132007561768581,0.8533183269720995,1.2591680138670438,1.3337331646836708,1.202072137958213,1.640409789622267,1.6059465210277153,0.9662168341911628,1.0234340626861644,0.922404574144485,1.2587609725229076,1.2323157405041538,-1.7538082900362566,2.452792895512551,1.935562693387046
allETFselect_amount_W_qoq,1.4830493694329832,1.1102116846039785,1.3031940339987096,1.1380111715846388,0.8519158741061869,1.149034078603024,1.2199402341143868,1.0794935696572567,1.2256445117669394,1.466998158360897,0.8817060611283936,0.9361155762593023,0.8283444686628496,0.9404927277070032,1.125694347954903,0.36902101318806546,-1.4497487173739207,0.043594545375655415
ASarePlanTrade_under_next_orig_M,1.2941758445035858,0.20411609265200167,1.3031940339987096,0.9930799334098757,0.15662755301733047,0.22456875874543733,0.8631567728871363,1.0,0.9956559513466549,1.4475774627002596,0.17232181308900904,0.6623394140614912,0.7673454404419029,0.7640120545147007,1.110791965689503,10.086768766663338,,-0.1031663396376803
margin_net_buy_orig_W_orig,0.5471719816803498,2.0856560287605994,1.3031940339987096,0.4198699252799768,1.6004186439996122,2.0113022649407037,1.8573630646971555,1.3852666908663487,1.509831976504259,0.704201200591041,1.5433636223527212,1.4252390789405613,1.0629780790323358,1.1585626830039293,0.5403655804272491,-6.5019334768025345,1.787174709142986,-2.2484742414064964
MjrHolderTrade_under_recent_amount_M,2.0796621020992556,1.2201696533996744,1.3031940339987096,1.595819231705687,0.9362916201018172,1.2740883511170003,1.116768585304029,1.5457572051516255,1.2984094438484788,2.106906405660003,0.9776658869497724,0.8569472819618009,1.186129743403319,0.9963285665638372,1.6167250238210416,2.257540976321658,,0.5086488980642891
indusETFselect_orig_W_orig,0.6774531271316273,1.7706157764779473,1.3031940339987096,0.519840568217563,1.3586739428548524,1.6083111900859177,1.7118704120319375,1.3421238396040942,1.3835236626983494,0.7581826535945707,1.2341302585241196,1.3135959553001089,1.0298726088285814,1.0616405743150596,0.5817880022579366,2.5289465712086194,-0.5670198016418526,-0.3690330293826492
margin_slend_balance_float_W_qoq,1.0234763127931874,0.7405685893692092,1.3031940339987096,0.7853598820221431,0.5682719303869546,0.8877942398656709,1.673777151181803,1.4940826840520738,1.519446454495014,1.1873673569079002,0.6812448620115076,1.284365265275194,1.146477535250559,1.1659403088523643,0.9111209274528308,-2.385981769706504,4.9850556308177145,1.6833348756087902
AshareStockRepo_pass_recent_amount_M,1.5210863513800468,1.057371794342638,1.3031940339987096,1.1671986762498892,0.8113694252406967,1.0295057947713326,1.5264153262890605,1.6269672363221905,1.209550648290874,0.9998554722409,0.7899865775262995,1.17128784084855,1.2484458905401967,0.9281431749495499,0.7672345377249402,-0.5009231390626805,,0.23242615272173883
north_change_amount_W_qoq,1.8831409766701452,1.7697062579022638,1.3031940339987096,1.4450196421571477,1.3579760279228044,1.4075757916519187,0.8807759188944231,0.6292308412374858,0.9082704161091534,1.6018601636284404,1.0800968658005017,0.6758593854146628,0.4828374170090077,0.6969571624896287,1.2291800927858043,8.292262928923494,-7.1693505451925,1.3614707520125873
AShareSEO_pass_recent_amount_M,1.5568749324296354,0.6859379859205806,1.3031940339987096,1.1946608807381764,0.5263513859220598,0.4944786433855969,0.9663803785452769,1.35593432522656,2.018902924535971,1.4156047451696003,0.37943593239783546,0.7415475772092384,1.0404700220012693,1.5491959538375006,1.0862578466738146,3.8355042680860283,,0.42405414525719853
margin_tr_balance_orig_M_qoq,0.7285600997961044,1.8592601830382938,1.3031940339987096,0.5590572706664384,1.4266948240496125,1.6792886154817515,1.748307078065432,1.4547647208270416,1.2447465286510826,0.794017404020989,1.288594462275918,1.3415554648458152,1.116307075442368,0.9551505732662947,0.6092856346070221,-1.4237437996171804,-0.8989056681858769,-0.7600849702142347
margin_repay_amount_W_yoy,0.6987278430896546,1.9240788476544395,1.3031940339987096,0.5361656245046519,1.476433130798345,1.9433531772352084,1.732594802731391,1.3986147503507496,1.3921635483686186,0.857970252409893,1.4912231997197223,1.329498722009271,1.073220651616438,1.06827035119008,0.65835956122152,-0.38838478949102917,-0.7442345489164139,-0.213589705279013
margin_borrow_float_W_orig,0.29218908055364523,1.9304850221442622,1.3031940339987096,0.22420995870975155,1.4813488795837855,2.248116564445132,1.775121429683622,1.5364838845361177,1.1836275842153552,0.5116349235082216,1.7250819953088874,1.3621313352984392,1.1790139031112532,0.9082512299289173,0.3926007257248756,-12.045250436417529,,-2.200533744463352
margin_repay_orig_M_yoy,1.4402234551624107,0.6881375569457999,1.3031940339987096,1.1051489015363591,0.5280392167191899,0.8146531774113173,1.389049022842546,1.7000788621976912,1.445377123563747,1.3944978513009882,0.6251204012280829,1.0658804342285084,1.3045477632990565,1.1091035454856741,1.0700615679018441,-1.8247830278011063,3.329267753044558,1.0571900540037524
north_holdings_orig_W_orig,2.4835921320304792,0.8993934052006718,1.3031940339987096,1.9057730984309729,0.6901454286442523,0.7483630719805183,0.7365789035049077,0.8200784182415248,1.1911375917269318,1.764384374573707,0.5742529910793464,0.5652104631301873,0.6292834350424419,0.91401399995061,1.3538923050160725,4.310240475147685,,3.2374489859302193
indusETF_float_M_qoq,0.7391495220465948,1.3774032170613455,1.3031940339987096,0.5671830155472662,1.056944078262032,1.8775206737891534,1.3308441738265735,1.126658867300983,1.1996989741119957,1.1740760691083867,1.4407069283675162,1.0212172087244924,0.8645365447568483,0.9205835376876684,0.900921918362273,-1.5673463088246786,0.09425216118718346,-0.9446866806090388
AShareFreeFloatCalendar_anndt_recent_amount_W,2.061682680163089,1.7272086025455642,1.3031940339987096,1.5820228042611886,1.3253656458553695,1.7285837205990124,1.5796124748567504,1.5482310972811395,5.062103541306393,0.9429667008390801,1.3264208364237524,1.2121084302464773,1.1880280732490467,3.8843820714662707,0.723581198377412,-6.689429884542042,,-0.17123689100352557
margin_borrow_amount_W_qoq,1.3935992981049838,1.4638460473761254,1.3031940339987096,1.0693720672038955,1.1232755899629716,1.4892988953809692,1.2319766385841815,1.2107032292006568,1.46517606936846,1.414776165378882,1.1428067168257492,0.9453516563485138,0.9290276026554121,1.124296176274477,1.0856220397493646,-0.22815781896861725,0.10694332696132905,0.00723746225435546
AShareSEO_offering_recent_amount_M,1.3799719841149272,0.8071396770773394,1.3031940339987096,1.0589152099481554,0.6193549510050462,0.547583312730111,0.9852157671679579,1.6530497346669146,1.0791845454670341,1.3008756565696875,0.42018555828552323,0.7560008267878039,1.2684601767203543,0.8281073403594961,0.9982210036506165,1.7780353041754802,,-0.0668346198093799
allETF_orig_W_orig,0.7894805598022765,1.8228640245845642,1.3031940339987096,0.605804307881798,1.3987663978105422,1.512271468047335,1.3793287217562158,1.2609570966582246,1.248587728955924,1.0909336028013832,1.1604346157165053,1.0584216055101903,0.9675896787135485,0.9580981008060387,0.8371229259344993,-3.451655477853605,-0.0880876714477496,-1.0707354148302468
MjrHolderTrade_under_recent_float_M,1.3394153663668409,1.3166798896083536,1.3031940339987096,1.0277942742394162,1.010348309812518,1.4464655691839063,1.3291136214526846,1.944415072564868,1.3726277138243317,1.186523706038349,1.1099387592694725,1.019889277250943,1.492038040259163,1.053279617627294,0.9104735558047558,-0.08975124167254384,,-0.15368089083821906
margin_tr_balance_float_M_qoq,1.032439793837378,1.2169465968656703,1.3031940339987096,0.7922379683318902,0.9338184223661626,1.2283708692948283,1.5343559197436902,1.436008929940824,1.3913708352637684,1.1340403025335042,0.9425847857250431,1.177381019030363,1.1019149048239474,1.0676620664034946,0.8702006554264405,-2.1690157274801445,1.7385591021780165,-0.17795687141318306
north_change_amount_W_orig,2.25991474366338,1.3558891092050696,1.3031940339987096,1.7341352743375265,1.0404353256933434,1.171650590340171,0.6949013710151825,0.585150864188817,1.155748813744011,1.9232005684804327,0.8990607382885941,0.5332293986053274,0.4490128476059279,0.886858582522605,1.4757591872787357,8.255455445106499,-6.540522826168273,3.4485016842086447
MjrHolderTrade_under_recent_orig_M,1.4066814368305889,1.409737346571816,1.3031940339987096,1.0794105867062171,1.0817555251125497,1.6774205320749052,1.6481706268243508,1.235731202940518,1.4294671833378898,1.1522005449810893,1.2871609969913091,1.2647162155639387,0.9482327041881944,1.0968951253956594,0.8841358346659145,1.3079323970001993,,0.3533040572588871
margin_borrow_float_M_orig,0.4683116049996705,1.661500087899276,1.3031940339987096,0.35935677480252665,1.2749445167433304,1.8792661740853394,1.7629028280947514,1.4706900262739313,1.1785731617210402,0.6694646688488324,1.4420463300610844,1.3527554470806433,1.1285272859646835,0.9043727418738376,0.5137106611780999,-4.022184931878137,,-1.244793564020246
margin_slend_balance_amount_M_qoq,1.3377171097142913,1.018250567763064,1.3031940339987096,1.026491124740382,0.781349930400366,1.2745078285137268,1.443402895414787,1.3716232808341364,1.2281035402748715,1.3138592291071043,0.977987771017519,1.1075886305171776,1.0525088705520382,0.9423796520204815,1.00818388883785,0.29689828998641526,0.3708297938013557,0.11606667000315456
margin_borrow_orig_W_qoq,0.3721239511030209,1.3610463412436928,1.3031940339987096,0.2855476171581287,1.044392704183482,1.4551150124759047,2.095278865847339,1.8898994332514818,1.338159133449044,0.5435237208498661,1.1165758701419481,1.6078026841622373,1.450205712999261,1.0268303096378117,0.4170704489661624,-10.017636039587403,2.5199322892393563,-3.091510989064098
ASarePlanTrade_over_next_amount_M,1.3159752300645322,1.1716044431258341,1.3031940339987096,1.009807592524503,0.8990253274340836,1.193930761987068,1.0875377190035573,1.1413967519687156,0.9105630524524112,1.4869684244212993,0.9161573264141035,0.8345171099859672,0.8758455933583915,0.698716406534219,1.1410184405607644,,,0.12633091691613246
margin_slend_balance_float_W_yoy,1.5490296812295106,0.7298918494064708,1.3031940339987096,1.1886408630006393,0.5600791826577634,0.9151102388584946,1.319169667881566,1.5582233206998888,1.6101748120502624,1.5031700017562912,0.7022056692897666,1.0122588298181792,1.1956955603293007,1.2355603003411668,1.1534506470567372,-0.3251848257235206,5.506155920680647,0.7246953787294431
AShareSEO_offering_recent_orig_W,0.3471275981554805,0.3206237885186103,1.3031940339987096,0.2663667796961571,0.24602920221696453,0.28362476195164543,0.4214624896297876,0.539223876440287,0.37941593960194625,0.4077149513868689,0.21763816788001522,0.3234073197347103,0.4137709829638623,0.29114309128453386,0.31285820894670596,,,-0.11184245994916049
AShareSEO_pass_recent_float_M,1.0523099442305917,1.0213872718142973,1.3031940339987096,0.8074852376370176,0.7837568659520956,1.0014167588856613,1.4282447908278442,1.0042723663779474,0.8807554749410957,1.2242448598443676,0.7684325839130206,1.0959571280766456,0.7706238213019181,0.6758436978402925,0.939418711186012,2.4892699982616358,,0.41525705761785925
margin_tr_balance_orig_W_orig,1.0205745735208442,2.5286074845484046,1.3031940339987096,0.7831332456221595,1.9403154239354876,2.335827319034701,1.7747885028302812,1.285727325517811,1.0466956615563034,0.9881371280756632,1.792386442920912,1.3618758653955276,0.9865970008876546,0.8031771434255506,0.7582425197602168,-2.210670875035357,,1.857552838886465
AShareSEO_offering_recent_amount_W,0.4349276867634454,0.2922731734455175,1.3031940339987096,0.333739777359874,0.2242744870069033,0.2295526525476548,1.629573446945062,0.2827916741822168,0.594927877717804,0.28243579482818537,0.17614618127378728,1.2504457543784886,0.21699890177865624,0.4565151943585348,0.21672581937899282,,,-0.19266924998868062
ASarePlanTrade_under_next_amount_W,1.0654060623581707,0.22722943544204655,1.3031940339987096,0.817534484169704,0.17436347122064214,0.22572282873210583,0.9788886192671681,1.0,1.0273457885398183,1.0141191191619707,0.17320738343122996,0.7511457186951312,0.7673454404419029,0.7883291065932209,0.7781796821538971,27.287375221573946,,-0.3962543595204652
north_holdings_amount_M_yoy,1.045677614658333,0.9356495982758303,1.3031940339987096,0.802395949780237,0.7179664530882565,1.0070996021821843,0.8895261775944958,0.9284410065332509,1.0763074422973729,1.2674397403755346,0.7727932878053534,0.6825738565308508,0.7124349730825811,0.8258996083605755,0.9725641058120357,1.1934122395466913,,
north_change_amount_W_yoy,2.0625720483821013,1.4011046612679703,1.3031940339987096,1.5827052569089213,1.0751312734058738,1.1742718226715891,0.8368550412122777,0.6637258910182106,0.9998310930747585,1.69158078661042,0.9010721289664467,0.6421569001850621,0.5093070361760632,0.7672158304829597,1.2980268037446332,8.105777159365033,-5.64100189020433,1.976977139163201
indusETF_float_M_yoy,0.9829226371079449,1.3078076259605969,1.3031940339987096,0.7542412038919127,1.0035402187560136,1.625487849134676,1.6034372080780195,1.0721385794621805,1.2035622159457011,1.2949948406960585,1.2473106895272095,1.230390230653563,0.822700650472163,0.9235479786940867,0.9937083864039089,0.04538437065634013,-0.5993068636822588,-0.4454783599273013
